size,array_type,algorithm,threshold,time
3400,random,hybrid,20,925
3400,reversed,hybrid,20,720
3400,nearly_sorted,hybrid,20,612
3400,random,hybrid,30,915
3400,reversed,hybrid,30,852
3400,nearly_sorted,hybrid,30,544
3400,random,hybrid,50,837
3400,reversed,hybrid,50,850
3400,nearly_sorted,hybrid,50,587
3500,random,standard,0,1505
3500,reversed,standard,0,1130
3500,nearly_sorted,standard,0,1241
3500,random,hybrid,5,1022
3500,reversed,hybrid,5,756
3500,nearly_sorted,hybrid,5,834
3500,random,hybrid,10,944
3500,reversed,hybrid,10,696
3500,nearly_sorted,hybrid,10,702
3500,random,hybrid,20,873
3500,reversed,hybrid,20,702
3500,nearly_sorted,hybrid,20,615
3500,random,hybrid,30,856
3500,reversed,hybrid,30,826
3500,nearly_sorted,hybrid,30,548
3500,random,hybrid,50,854
3500,reversed,hybrid,50,805
3500,nearly_sorted,hybrid,50,560
3600,random,standard,0,1565
3600,reversed,standard,0,1174
3600,nearly_sorted,standard,0,1316
3600,random,hybrid,5,1103
3600,reversed,hybrid,5,766
3600,nearly_sorted,hybrid,5,873
3600,random,hybrid,10,1002
3600,reversed,hybrid,10,722
3600,nearly_sorted,hybrid,10,720
3600,random,hybrid,20,872
3600,reversed,hybrid,20,740
3600,nearly_sorted,hybrid,20,624
3600,random,hybrid,30,880
3600,reversed,hybrid,30,875
3600,nearly_sorted,hybrid,30,565
3600,random,hybrid,50,878
3600,reversed,hybrid,50,821
3600,nearly_sorted,hybrid,50,555
3700,random,standard,0,1602
3700,reversed,standard,0,1199
3700,nearly_sorted,standard,0,1353
3700,random,hybrid,5,1214
3700,reversed,hybrid,5,824
3700,nearly_sorted,hybrid,5,903
3700,random,hybrid,10,974
3700,reversed,hybrid,10,739
3700,nearly_sorted,hybrid,10,733
3700,random,hybrid,20,923
3700,reversed,hybrid,20,754
3700,nearly_sorted,hybrid,20,628
3700,random,hybrid,30,932
3700,reversed,hybrid,30,965
3700,nearly_sorted,hybrid,30,668
3700,random,hybrid,50,1049
3700,reversed,hybrid,50,899
3700,nearly_sorted,hybrid,50,564
3800,random,standard,0,1774
3800,reversed,standard,0,1370
3800,nearly_sorted,standard,0,1490
3800,random,hybrid,5,1151
3800,reversed,hybrid,5,902
3800,nearly_sorted,hybrid,5,908
3800,random,hybrid,10,1026
3800,reversed,hybrid,10,768
3800,nearly_sorted,hybrid,10,842
3800,random,hybrid,20,925
3800,reversed,hybrid,20,788
3800,nearly_sorted,hybrid,20,660
3800,random,hybrid,30,999
3800,reversed,hybrid,30,912
3800,nearly_sorted,hybrid,30,599
3800,random,hybrid,50,966
3800,reversed,hybrid,50,1036
3800,nearly_sorted,hybrid,50,589
3900,random,standard,0,1822
